J	F	M	A	M	J	J	A	S	O	N	D
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
18.5	17.5	13	23.5	26	12.5	7.5	5	14	24.5	28	28
