J	F	M	A	M	J	J	A	S	O	N	D
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
37	35	26	47	52	25	15	10	28	49	56	56
