J	F	M	A	M	J	J	A	S	O	N	D
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
82.4	71.1	52.0	68.3	62.9	36.2	19.5	23.0	45.7	81.9	87.7	99.4
