J	F	M	A	M	J	J	A	S	O	N	D
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
9	12	16.5	18	24	31.5	37.5	37.5	31.5	22.5	15	10.5
