J	F	M	A	M	J	J	A	S	O	N	D
12.3	14.0	16.5	17.9	21.1	25.4	28.8	28.9	26.0	20.8	16.0	13.1
12.3	14.0	16.5	17.9	21.1	25.4	28.8	28.9	26.0	20.8	16.0	13.1
12.3	14.0	16.5	17.9	21.1	25.4	28.8	28.9	26.0	20.8	16.0	13.1
12.3	14.0	16.5	17.9	21.1	25.4	28.8	28.9	26.0	20.8	16.0	13.1
12.3	14.0	16.5	17.9	21.1	25.4	28.8	28.9	26.0	20.8	16.0	13.1
12.3	14.0	16.5	17.9	21.1	25.4	28.8	28.9	26.0	20.8	16.0	13.1
12.3	14.0	16.5	17.9	21.1	25.4	28.8	28.9	26.0	20.8	16.0	13.1
12.3	14.0	16.5	17.9	21.1	25.4	28.8	28.9	26.0	20.8	16.0	13.1
12.3	14.0	16.5	17.9	21.1	25.4	28.8	28.9	26.0	20.8	16.0	13.1
12.3	14.0	16.5	17.9	21.1	25.4	28.8	28.9	26.0	20.8	16.0	13.1
12.3	14.0	16.5	17.9	21.1	25.4	28.8	28.9	26.0	20.8	16.0	13.1
12.3	14.0	16.5	17.9	21.1	25.4	28.8	28.9	26.0	20.8	16.0	13.1
12.3	14.0	16.5	17.9	21.1	25.4	28.8	28.9	26.0	20.8	16.0	13.1
12.3	14.0	16.5	17.9	21.1	25.4	28.8	28.9	26.0	20.8	16.0	13.1
12.3	14.0	16.5	17.9	21.1	25.4	28.8	28.9	26.0	20.8	16.0	13.1
12.3	14.0	16.5	17.9	21.1	25.4	28.8	28.9	26.0	20.8	16.0	13.1
12.3	14.0	16.5	17.9	21.1	25.4	28.8	28.9	26.0	20.8	16.0	13.1
12.3	14.0	16.5	17.9	21.1	25.4	28.8	28.9	26.0	20.8	16.0	13.1
12.3	14.0	16.5	17.9	21.1	25.4	28.8	28.9	26.0	20.8	16.0	13.1
12.3	14.0	16.5	17.9	21.1	25.4	28.8	28.9	26.0	20.8	16.0	13.1
12.3	14.0	16.5	17.9	21.1	25.4	28.8	28.9	26.0	20.8	16.0	13.1
12.3	14.0	16.5	17.9	21.1	25.4	28.8	28.9	26.0	20.8	16.0	13.1
12.3	14.0	16.5	17.9	21.1	25.4	28.8	28.9	26.0	20.8	16.0	13.1
12.3	14.0	16.5	17.9	21.1	25.4	28.8	28.9	26.0	20.8	16.0	13.1
12.3	14.0	16.5	17.9	21.1	25.4	28.8	28.9	26.0	20.8	16.0	13.1
12.3	14.0	16.5	17.9	21.1	25.4	28.8	28.9	26.0	20.8	16.0	13.1
12.3	14.0	16.5	17.9	21.1	25.4	28.8	28.9	26.0	20.8	16.0	13.1
12.3	14.0	16.5	17.9	21.1	25.4	28.8	28.9	26.0	20.8	16.0	13.1
12.3	14.0	16.5	17.9	21.1	25.4	28.8	28.9	26.0	20.8	16.0	13.1
12.3	14.0	16.5	17.9	21.1	25.4	28.8	28.9	26.0	20.8	16.0	13.1
12.3	14.0	16.5	17.9	21.1	25.4	28.8	28.9	26.0	20.8	16.0	13.1
12.3	14.0	16.5	17.9	21.1	25.4	28.8	28.9	26.0	20.8	16.0	13.1
12.3	14.0	16.5	17.9	21.1	25.4	28.8	28.9	26.0	20.8	16.0	13.1
12.3	14.0	16.5	17.9	21.1	25.4	28.8	28.9	26.0	20.8	16.0	13.1
12.3	14.0	16.5	17.9	21.1	25.4	28.8	28.9	26.0	20.8	16.0	13.1
12.3	14.0	16.5	17.9	21.1	25.4	28.8	28.9	26.0	20.8	16.0	13.1
