J	F	M	A	M	J	J	A	S	O	N	D
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
6	8	11	12	16	21	25	25	21	15	10	7
